N,pi_estimated,accuracy,execution_time_sec,time_per_point_sec
1000000,3.14178,0.00018734641020667908,0.0635171,6.351710E-008
10000000,3.142222,0.0006293464102067325,0.0932493,9.324930E-009
100000000,3.14159544,2.786410207011869E-06,0.2992107,2.992107E-009
1000000000,3.141544044,4.8609589792913965E-05,1.8209497,1.820950E-009
10000000000,3.141595134,2.4804102070064005E-06,18.2149158,1.821492E-009
100000000000,3.14159204332,6.102697929222245E-07,199.390802,1.993908E-009
